id;name;company;modal;make;entered_time;left_time
1;San Marino model Games;compelling Maryland;Liaison Arizona;one-to-one;2020-09-06T11:19:15;2020-09-06T19:39:46
2;maroon Profit-focused Haiti;Bike;Savings Account Park Papua New Guinea;Auto Loan Account Security Health;2020-09-06T06:40:07;2020-09-06T06:22:38
3;Front-line non-volatile empowering;Ghana Refined Frozen Tuna 24 hour;Intelligent Wooden Shoes input;Plastic New Mexico;2020-09-06T04:53:36;2020-09-06T15:14:38
4;salmon orchestrate;optimize Sausages;Handmade;wireless motivating connecting;2020-09-07T02:31:12;2020-09-06T16:08:04
5;ROI algorithm Syrian Pound;leading edge synthesizing;Practical Investor experiences;gold;2020-09-06T06:52:34;2020-09-06T20:17:51
6;Dominican Republic;Global cross-platform;Ohio;scalable Personal Loan Account synthesize;2020-09-06T21:21:29;2020-09-07T02:39:43
7;Automotive tertiary;IB Central;Officer;optical Customizable Concrete;2020-09-06T13:02:17;2020-09-06T14:01:48
8;background index;zero defect;synergy Steel Movies;EXE copy;2020-09-06T07:30:05;2020-09-06T10:08:19
9;New Jersey Cliffs Unbranded;Optimized International;methodology;Refined West Virginia Brand;2020-09-06T06:45:22;2020-09-06T16:49:36
10;Ergonomic payment SAS;optimizing Gorgeous;Games Handcrafted Wooden Keyboard logistical;RAM azure Plastic;2020-09-07T01:51:15;2020-09-06T04:57:15
